Event,Gold,Gold.1,Silver,Silver.1,Bronze,Bronze.1,Year,Discipline,Male/Female/Mixed,Status,Date,Participants,NOCs
"3,000 metres Steeplechase, Men",Gaston Roelants,BEL,Maurice Herriott,GBR,Ivan Belyayev,URS,1964,Athletics,,,,,
"4 Ã 100 metres Relay, Men",United States,USA,Poland,POL,France,FRA,1964,Athletics,,,,,
"4 Ã 400 metres Relay, Men",United States,USA,Great Britain,GBR,Trinidad and Tobago,TTO,1964,Athletics,,,,,
"20 kilometres Walk, Men",Ken Matthews,GBR,Dieter Lindner,GER,Vladimir Golubnichy,URS,1964,Athletics,,,,,
"50 kilometres Walk, Men",Abdon Pamich,ITA,Paul Nihill,GBR,Ingvar Pettersson,SWE,1964,Athletics,,,,,
"High Jump, Men",Valery Brumel,URS,John Thomas,USA,John Rambo,USA,1964,Athletics,,,,,
"Pole Vault, Men",Fred Hansen,USA,Wolfgang Reinhardt,GER,Klaus Lehnertz,GER,1964,Athletics,,,,,
"Long Jump, Men",Lynn Davies,GBR,Ralph Boston,USA,Igor Ter-Ovanesyan,URS,1964,Athletics,,,,,
"Triple Jump, Men",JÃ³zef Szmidt,POL,Oleg Fedoseyev,URS,Viktor Kravchenko,URS,1964,Athletics,,,,,
"Shot Put, Men",Dallas Long,USA,Randy Matson,USA,Vilmos VarjÃº,HUN,1964,Athletics,,,,,
"Discus Throw, Men",Al Oerter,USA,LudvÃ­k DanÄk,TCH,Dave Weill,USA,1964,Athletics,,,,,
"Hammer Throw, Men",Romuald Klim,URS,Gyula ZsivÃ³tzky,HUN,Uwe Beyer,GER,1964,Athletics,,,,,
"Javelin Throw, Men",Pauli Nevala,FIN,Gergely KulcsÃ¡r,HUN,JÄnis LÅ«sis,URS,1964,Athletics,,,,,
"Decathlon, Men",Willi Holdorf,GER,Rein Aun,URS,Hans-Joachim Walde,GER,1964,Athletics,,,,,
"100 metres, Women",Wyomia Tyus,USA,Edith McGuire,USA,Ewa KÅobukowska,POL,1964,Athletics,,,,,
"200 metres, Women",Edith McGuire,USA,Irena Kirszenstein,POL,Marilyn Black,AUS,1964,Athletics,,,,,
"400 metres, Women",Betty Cuthbert,AUS,Ann Packer,GBR,Judy Amoore,AUS,1964,Athletics,,,,,
"800 metres, Women",Ann Packer,GBR,Maryvonne Dupureur,FRA,Marise Chamberlain,NZL,1964,Athletics,,,,,
"80 metres Hurdles, Women",Karin Balzer,GER,Teresa CiepÅy,POL,Pam Kilborn,AUS,1964,Athletics,,,,,
"4 Ã 100 metres Relay, Women",Poland,POL,United States,USA,Great Britain,GBR,1964,Athletics,,,,,
"High Jump, Women",Iolanda BalaÈ,ROU,Michele Mason-Brown,AUS,Taisiya Chenchik,URS,1964,Athletics,,,,,
"Long Jump, Women",Mary Rand,GBR,Irena Kirszenstein,POL,Tatyana Shchelkanova,URS,1964,Athletics,,,,,
"Shot Put, Women",Tamara Press,URS,Renate Garisch-Culmberger,GER,Galina Zybina,URS,1964,Athletics,,,,,
"Discus Throw, Women",Tamara Press,URS,Ingrid Lotz,GER,Lia Manoliu,ROU,1964,Athletics,,,,,
"Javelin Throw, Women",Mihaela PeneÈ,ROU,MÃ¡rta Antal-Rudas,HUN,Yelena Gorchakova,URS,1964,Athletics,,,,,
"Pentathlon, Women",Irina Press,URS,Mary Rand,GBR,Galina Bystrova,URS,1964,Athletics,,,,,
"Basketball, Men",United States,USA,Soviet Union,URS,Brazil,BRA,1964,Basketball,,,,,
"Flyweight, Men",Fernando Atzori,ITA,Artur Olech,POL,Bob CarmodyStanislav Sorokin,USAURS,1964,Boxing,,,,,
"Bantamweight, Men",Takao Sakurai,JPN,Jeong Sin-Jo,KOR,Juan FabilaWashington RodrÃ­guez,MEXURU,1964,Boxing,,,,,
"Featherweight, Men",Stanislav Stepashkin,URS,Anthony Villanueva,PHI,Charlie BrownHeinz Schulz,USAGER,1964,Boxing,,,,,
"Lightweight, Men",JÃ³zef GrudzieÅ,POL,Vilikton Barannikov,URS,Ronnie HarrisJim McCourt,USAIRL,1964,Boxing,,,,,
"Light-Welterweight, Men",Jerzy Kulej,POL,Yevgeny Frolov,URS,Eddie BlayHabib Galhia,GHATUN,1964,Boxing,,,,,
"Welterweight, Men",Marian Kasprzyk,POL,RiÄardas Tamulis,URS,Pertti PurhonenSilvano Bertini,FINITA,1964,Boxing,,,,,
"Light-Middleweight, Men",Boris Lagutin,URS,Joseph Gonzales,FRA,Nojim MaiyegunJÃ³zef Grzesiak,NGRPOL,1964,Boxing,,,,,
"Middleweight, Men",Valery Popenchenko,URS,Emil Schulz,GER,Franco ValleTadeusz Walasek,ITAPOL,1964,Boxing,,,,,
"Light-Heavyweight, Men",Cosimo Pinto,ITA,Aleksey Kiselyov,URS,Aleksandar NikolovZbigniew Pietrzykowski,BULPOL,1964,Boxing,,,,,
"Heavyweight, Men",Joe Frazier,USA,Hans Huber,GER,Giuseppe RosVadim Yemelyanov,ITAURS,1964,Boxing,,,,,
"Kayak Singles, 1,000 metres, Men",Rolf Peterson,SWE,MihÃ¡ly Hesz,HUN,Aurel Vernescu,ROU,1964,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",Sweden,SWE,Netherlands,NED,Unified Team of Germany,GER,1964,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",Soviet Union,URS,Unified Team of Germany,GER,Romania,ROU,1964,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",JÃ¼rgen Eschert,GER,Andrei Igorov,ROU,Yevgeny Penyayev,URS,1964,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Soviet Union,URS,France,FRA,Denmark,DEN,1964,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Lyudmila Khvedosyuk,URS,Hilde Lauer,ROU,Marcia Jones,USA,1964,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",Unified Team of Germany,GER,United States,USA,Romania,ROU,1964,Canoe Sprint,,,,,
"Road Race, Individual, Men",Mario Zanin,ITA,Kjell Rodian,DEN,Walter Godefroot,BEL,1964,Cycling Road,,,,,
"100 kilometres Team Time Trial, Men",Netherlands,NED,Italy,ITA,Sweden,SWE,1964,Cycling Road,,,,,
"Sprint, Men",Giovanni Pettenella,ITA,Sergio Bianchetto,ITA,Daniel Morelon,FRA,1964,Cycling Track,,,,,
"1,000 metres Time Trial, Men",Patrick Sercu,BEL,Giovanni Pettenella,ITA,Pierre Trentin,FRA,1964,Cycling Track,,,,,
"Tandem Sprint, 2,000 metres, Men",Italy,ITA,Soviet Union,URS,Unified Team of Germany,GER,1964,Cycling Track,,,,,
"Individual Pursuit, 4,000 metres, Men",JiÅÃ­ Daler,TCH,Giorgio Ursi,ITA,Preben Isaksson,DEN,1964,Cycling Track,,,,,
"Team Pursuit, 4,000 metres, Men",Unified Team of Germany,GER,Italy,ITA,Netherlands,NED,1964,Cycling Track,,,,,
"Springboard, Men",Ken Sitzberger,USA,Frank Gorman,USA,Larry Andreasen,USA,1964,Diving,,,,,
"Platform, Men",Bob Webster,USA,Klaus Dibiasi,ITA,Tom Gompf,USA,1964,Diving,,,,,
"Springboard, Women",Ingrid Engel-KrÃ¤mer,GER,Jeanne Collier,USA,Patsy Willard,USA,1964,Diving,,,,,
"Platform, Women",Lesley Bush,USA,Ingrid Engel-KrÃ¤mer,GER,Galina Alekseyeva,URS,1964,Diving,,,,,
"Individual, Open",Henri Chammartin,SUI,Harry Boldt,GER,Sergey Filatov,URS,1964,Equestrian Dressage,,,,,
"Team, Open",Unified Team of Germany,GER,Switzerland,SUI,Soviet Union,URS,1964,Equestrian Dressage,,,,,
"Individual, Open",Mauro Checcoli,ITA,Carlos Moratorio,ARG,Fritz Ligges,GER,1964,Equestrian Eventing,,,,,
"Team, Open",Italy,ITA,United States,USA,Unified Team of Germany,GER,1964,Equestrian Eventing,,,,,
"Individual, Open",Pierre JonquÃ¨res d'Oriola,FRA,Hermann Schridde,GER,Peter Robeson,GBR,1964,Equestrian Jumping,,,,,
"Team, Open",Unified Team of Germany,GER,France,FRA,Italy,ITA,1964,Equestrian Jumping,,,,,
"Foil, Individual, Men",Egon Franke,POL,Jean-Claude Magnan,FRA,Daniel Revenu,FRA,1964,Fencing,,,,,
"Foil, Team, Men",Soviet Union,URS,Poland,POL,France,FRA,1964,Fencing,,,,,
"ÃpÃ©e, Individual, Men",Grigory Kriss,URS,Bill Hoskyns,GBR,Guram Kostava,URS,1964,Fencing,,,,,
"ÃpÃ©e, Team, Men",Hungary,HUN,Italy,ITA,France,FRA,1964,Fencing,,,,,
"Sabre, Individual, Men",Tibor PÃ©zsa,HUN,Claude Arabo,FRA,Umyar Mavlikhanov,URS,1964,Fencing,,,,,
"Sabre, Team, Men",Soviet Union,URS,Italy,ITA,Poland,POL,1964,Fencing,,,,,
"Foil, Individual, Women",IldikÃ³ RejtÅ-Ujlaky,HUN,Helga Mees,GER,Antonella Ragno,ITA,1964,Fencing,,,,,
"Foil, Team, Women",Hungary,HUN,Soviet Union,URS,Unified Team of Germany,GER,1964,Fencing,,,,,
"Football, Men",Hungary,HUN,Czechoslovakia,TCH,Unified Team of Germany,GER,1964,Football,,,,,
"Hockey, Men",India,IND,Pakistan,PAK,Australia,AUS,1964,Hockey,,,,,
"Lightweight, Men",Takehide Nakatani,JPN,Eric HÃ¤nni,SUI,Oleg StepanovÄrons BoguÄ¼ubovs,URSURS,1964,Judo,,,,,
"Middleweight, Men",Isao Okano,JPN,Wolfgang Hofmann,GER,Jim BregmanKim Ui-Tae,USAKOR,1964,Judo,,,,,
"Heavyweight, Men",Isao Inokuma,JPN,Doug Rogers,CAN,Parnaoz Chik'viladzeAnzor K'ik'nadze,URSURS,1964,Judo,,,,,
"Open Class, Men",Anton Geesink,NED,Akio Kaminaga,JPN,Klaus GlahnTed Boronovskis,GERAUS,1964,Judo,,,,,
"Individual, Men",Ferenc TÃ¶rÃ¶k,HUN,Igor Novikov,URS,Albert Mokeyev,URS,1964,Modern Pentathlon,,,,,
"Team, Men",Soviet Union,URS,United States,USA,Hungary,HUN,1964,Modern Pentathlon,,,,,
"Single Sculls, Men",Vyacheslav Ivanov,URS,Achim Hill,GER,GÃ¶pf Kottmann,SUI,1964,Rowing,,,,,
"Double Sculls, Men",Soviet Union,URS,United States,USA,Czechoslovakia,TCH,1964,Rowing,,,,,
"Coxless Pairs, Men",Canada,CAN,Netherlands,NED,Unified Team of Germany,GER,1964,Rowing,,,,,
"Coxed Pairs, Men",United States,USA,France,FRA,Netherlands,NED,1964,Rowing,,,,,
"Coxless Fours, Men",Denmark,DEN,Great Britain,GBR,United States,USA,1964,Rowing,,,,,
"Coxed Fours, Men",Unified Team of Germany,GER,Italy,ITA,Netherlands,NED,1964,Rowing,,,,,
"Eights, Men",United States,USA,Unified Team of Germany,GER,Czechoslovakia,TCH,1964,Rowing,,,,,
"One Person Dinghy, Open",Willi Kuhweide,GER,Peter Barrett,USA,Henning Wind,DEN,1964,Sailing,,,,,
"Two Person Keelboat, Open",Gem,BAH,Glider,USA,Humbug V,SWE,1964,Sailing,,,,,
"Three Person Keelboat, Open",White Lady,DEN,Mutafo,GER,Aphrodite,USA,1964,Sailing,,,,,
"Two Person Heavyweight Dinghy, Open",Pandora,NZL,Lady C,GBR,Widgeon,USA,1964,Sailing,,,,,
"5.5 metres, Open",Barrenjoey,AUS,Rush VII,SWE,Bingo,USA,1964,Sailing,,,,,
"Rapid-Fire Pistol, 25 metres, Men",Pentti Linnosvuo,FIN,Ion TripÈa,ROU,LubomÃ­r NÃ¡covskÃ½,TCH,1964,Shooting,,,,,
"Free Pistol, 50 metres, Men",VÃ¤inÃ¶ Markkanen,FIN,Frank Green,USA,Yoshihisa Yoshikawa,JPN,1964,Shooting,,,,,
"Free Rifle, Three Positions, 300 metres, Men",Gary Anderson,USA,Shota Kveliashvili,URS,Martin Gunnarsson,USA,1964,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Men",Lones Wigger,USA,Velichko Velichkov,BUL,LÃ¡szlÃ³ Hammerl,HUN,1964,Shooting,,,,,
"Small-Bore Rifle, Prone, 50 metres, Men",LÃ¡szlÃ³ Hammerl,HUN,Lones Wigger,USA,Tommy Pool,USA,1964,Shooting,,,,,
"Trap, Men",Ennio Mattarelli,ITA,PÄvels SeniÄevs,URS,Bill Morris,USA,1964,Shooting,,,,,
"100 metres Freestyle, Men",Don Schollander,USA,Bobby McGregor,GBR,Hans-Joachim Klein,GER,1964,Swimming,,,,,
"400 metres Freestyle, Men",Don Schollander,USA,Frank Wiegand,GER,Allan Wood,AUS,1964,Swimming,,,,,
"1,500 metres Freestyle, Men",Bob Windle,AUS,John Nelson,USA,Allan Wood,AUS,1964,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Men",United States,USA,Unified Team of Germany,GER,Australia,AUS,1964,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Men",United States,USA,Unified Team of Germany,GER,Japan,JPN,1964,Swimming,,,,,
"200 metres Backstroke, Men",Jed Graef,USA,Gary Dilley,USA,Bob Bennett,USA,1964,Swimming,,,,,
"200 metres Breaststroke, Men",Ian O'Brien,AUS,Georgy Prokopenko,URS,Chet Jastremski,USA,1964,Swimming,,,,,
"200 metres Butterfly, Men",Kevin Berry,AUS,Carl Robie,USA,Fred Schmidt,USA,1964,Swimming,,,,,
"400 metres Individual Medley, Men",Dick Roth,USA,Roy Saari,USA,Gerhard Hetz,GER,1964,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Men",United States,USA,Unified Team of Germany,GER,Australia,AUS,1964,Swimming,,,,,
"100 metres Freestyle, Women",Dawn Fraser,AUS,Sharon Stouder,USA,Kathy Ellis,USA,1964,Swimming,,,,,
"400 metres Freestyle, Women",Ginny Duenkel,USA,Marilyn Ramenofsky,USA,Terri Lee Stickles,USA,1964,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Women",United States,USA,Australia,AUS,Netherlands,NED,1964,Swimming,,,,,
"100 metres Backstroke, Women",Cathy Ferguson,USA,Kiki Caron,FRA,Ginny Duenkel,USA,1964,Swimming,,,,,
"200 metres Breaststroke, Women",Galina Prozumenshchikova,URS,Claudia Kolb,USA,Svetlana Babanina,URS,1964,Swimming,,,,,
"100 metres Butterfly, Women",Sharon Stouder,USA,Ada Kok,NED,Kathy Ellis,USA,1964,Swimming,,,,,
"400 metres Individual Medley, Women",Donna de Varona,USA,Sharon Finneran,USA,Martha Randall,USA,1964,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Women",United States,USA,Netherlands,NED,Soviet Union,URS,1964,Swimming,,,,,
"Volleyball, Men",Soviet Union,URS,Czechoslovakia,TCH,Japan,JPN,1964,Volleyball,,,,,
"Volleyball, Women",Japan,JPN,Soviet Union,URS,Poland,POL,1964,Volleyball,,,,,
"Water Polo, Men",Hungary,HUN,Yugoslavia,YUG,Soviet Union,URS,1964,Water Polo,,,,,
"Bantamweight, Men",Aleksey Vakhonin,URS,Imre FÃ¶ldi,HUN,Shiro Ichinoseki,JPN,1964,Weightlifting,,,,,
"Featherweight, Men",Yoshinobu Miyake,JPN,Ike Berger,USA,MieczysÅaw Nowak,POL,1964,Weightlifting,,,,,
"Lightweight, Men",Waldemar Baszanowski,POL,Vladimir Kaplunov,URS,Marian ZieliÅski,POL,1964,Weightlifting,,,,,
"Middleweight, Men",Hans ZdraÅ¾ila,TCH,Viktor Kurentsov,URS,Masashi Ohuchi,JPN,1964,Weightlifting,,,,,
"Light-Heavyweight, Men",Rudolf Plyukfelder,URS,GÃ©za TÃ³th,HUN,GyÅzÅ Veres,HUN,1964,Weightlifting,,,,,
"Middle-Heavyweight, Men",Vladimir Golovanov,URS,Louis Martin,GBR,Ireneusz PaliÅski,POL,1964,Weightlifting,,,,,
"Heavyweight, Men",Leonid Zhabotinsky,URS,Yury Vlasov,URS,Norb Schemansky,USA,1964,Weightlifting,,,,,
"Flyweight, Greco-Roman, Men",Tsutomu Hanahara,JPN,Angel Kerezov,BUL,Dumitru PÃ®rvulescu,ROU,1964,Wrestling,,,,,
"Bantamweight, Greco-Roman, Men",Masamitsu Ichiguchi,JPN,Vladlen Trostyansky,URS,Ion Cernea,ROU,1964,Wrestling,,,,,
"Featherweight, Greco-Roman, Men",Imre PolyÃ¡k,HUN,Roman Rurua,URS,Branko MartinoviÄ,YUG,1964,Wrestling,,,,,
"Lightweight, Greco-Roman, Men",KazÄ±m Ayvaz,TUR,Valeriu BularcÄ,ROU,Davit Gvantseladze,URS,1964,Wrestling,,,,,
"Welterweight, Greco-Roman, Men",Anatoly Kolesov,URS,Kiril Petkov,BUL,Bertil NystrÃ¶m,SWE,1964,Wrestling,,,,,
"Middleweight, Greco-Roman, Men",Branislav SimiÄ,YUG,JiÅÃ­ KormanÃ­k,TCH,Lothar Metz,GER,1964,Wrestling,,,,,
"Light-Heavyweight, Greco-Roman, Men",Boyan Radev,BUL,Per Svensson,SWE,Heinz Kiehl,GER,1964,Wrestling,,,,,
"Heavyweight, Greco-Roman, Men",IstvÃ¡n Kozma,HUN,Anatoly Roshchin,URS,Wilfried Dietrich,GER,1964,Wrestling,,,,,
"Flyweight, Freestyle, Men",Yoshikatsu Yoshida,JPN,Jang Chang-Seon,KOR,Sayed Ali Akbar Haydari,IRI,1964,Wrestling,,,,,
"Bantamweight, Freestyle, Men",Yojiro Uetake,JPN,HÃ¼seyin AkbaÅ,TUR,AydÄ±n Ä°brahimov,URS,1964,Wrestling,,,,,
"Featherweight, Freestyle, Men",Osamu Watanabe,JPN,Stancho Ivanov,BUL,Nodar Khokhashvili,URS,1964,Wrestling,,,,,
"Lightweight, Freestyle, Men",Enyu Valchev,BUL,Klaus Rost,GER,Iwao Horiuchi,JPN,1964,Wrestling,,,,,
"Welterweight, Freestyle, Men",Ä°smail OÄan,TUR,Guram Sagharadze,URS,Mohammad Ali Sanatkaran,IRI,1964,Wrestling,,,,,
"Middleweight, Freestyle, Men",Prodan Gardzhev,BUL,Hasan GÃ¼ngÃ¶r,TUR,Dan Brand,USA,1964,Wrestling,,,,,
"Light-Heavyweight, Freestyle, Men",Aliaksandr Miadved,URS,Ahmet AyÄ±k,TUR,Said Mustafov,BUL,1964,Wrestling,,,,,
"Heavyweight, Freestyle, Men",Aleksandr Ivanitsky,URS,Lyutvi Akhmedov,BUL,Hamit Kaplan,TUR,1964,Wrestling,,,,,
"Individual All-Around, Men",Sawao Kato,JPN,Mikhail Voronin,URS,Akinori Nakayama,JPN,1968,Artistic Gymnastics,,,,,
"Team All-Around, Men",Japan,JPN,Soviet Union,URS,East Germany,GDR,1968,Artistic Gymnastics,,,,,
"Floor Exercise, Men",Sawao Kato,JPN,Akinori Nakayama,JPN,Takeshi Kato,JPN,1968,Artistic Gymnastics,,,,,
"Horse Vault, Men",Mikhail Voronin,URS,Yukio Endo,JPN,Sergey Diomidov,URS,1968,Artistic Gymnastics,,,,,
"Parallel Bars, Men",Akinori Nakayama,JPN,Mikhail Voronin,URS,Viktor Klimenko,URS,1968,Artistic Gymnastics,,,,,
"Horizontal Bar, Men",Mikhail VoroninAkinori Nakayama,URSJPN,â,â,Eizo Kenmotsu,JPN,1968,Artistic Gymnastics,,,,,
"Rings, Men",Akinori Nakayama,JPN,Mikhail Voronin,URS,Sawao Kato,JPN,1968,Artistic Gymnastics,,,,,
"Pommelled Horse, Men",Miroslav Cerar,YUG,Olli Laiho,FIN,Mikhail Voronin,URS,1968,Artistic Gymnastics,,,,,
"Individual All-Around, Women",VÄra ÄÃ¡slavskÃ¡,TCH,Zinaida Voronina,URS,Nataliya Kuchinskaya,URS,1968,Artistic Gymnastics,,,,,
"Team All-Around, Women",Soviet Union,URS,Czechoslovakia,TCH,East Germany,GDR,1968,Artistic Gymnastics,,,,,
"Floor Exercise, Women",Larisa PetrikVÄra ÄÃ¡slavskÃ¡,URSTCH,â,â,Nataliya Kuchinskaya,URS,1968,Artistic Gymnastics,,,,,
"Horse Vault, Women",VÄra ÄÃ¡slavskÃ¡,TCH,Erika Zuchold,GDR,Zinaida Voronina,URS,1968,Artistic Gymnastics,,,,,
"Uneven Bars, Women",VÄra ÄÃ¡slavskÃ¡,TCH,Karin Janz,GDR,Zinaida Voronina,URS,1968,Artistic Gymnastics,,,,,
"Balance Beam, Women",Nataliya Kuchinskaya,URS,VÄra ÄÃ¡slavskÃ¡,TCH,Larisa Petrik,URS,1968,Artistic Gymnastics,,,,,
"100 metres, Men",Jim Hines,USA,Lennox Miller,JAM,Charlie Greene,USA,1968,Athletics,,,,,
"200 metres, Men",Tommie Smith,USA,Peter Norman,AUS,John Carlos,USA,1968,Athletics,,,,,
"400 metres, Men",Lee Evans,USA,Larry James,USA,Ron Freeman,USA,1968,Athletics,,,,,
"800 metres, Men",Ralph Doubell,AUS,Wilson Kiprugut,KEN,Tom Farrell,USA,1968,Athletics,,,,,
"1,500 metres, Men",Kip Keino,KEN,Jim Ryun,USA,Bodo TÃ¼mmler,FRG,1968,Athletics,,,,,
"5,000 metres, Men",Mohamad Gammoudi,TUN,Kip Keino,KEN,Naftali Temu,KEN,1968,Athletics,,,,,
"10,000 metres, Men",Naftali Temu,KEN,Mamo Wolde,ETH,Mohamad Gammoudi,TUN,1968,Athletics,,,,,
"Marathon, Men",Mamo Wolde,ETH,Kenji Kimihara,JPN,Mike Ryan,NZL,1968,Athletics,,,,,
"110 metres Hurdles, Men",Willie Davenport,USA,Erv Hall,USA,Eddy Ottoz,ITA,1968,Athletics,,,,,
"400 metres Hurdles, Men",Dave Hemery,GBR,Gerhard Hennige,FRG,John Sherwood,GBR,1968,Athletics,,,,,
"3,000 metres Steeplechase, Men",Amos Biwott,KEN,Benjamin Kogo,KEN,George Young,USA,1968,Athletics,,,,,
"4 Ã 100 metres Relay, Men",United States,USA,Cuba,CUB,France,FRA,1968,Athletics,,,,,
"4 Ã 400 metres Relay, Men",United States,USA,Kenya,KEN,West Germany,FRG,1968,Athletics,,,,,
"20 kilometres Walk, Men",Vladimir Golubnichy,URS,JosÃ© Pedraza,MEX,Nikolay Smaga,URS,1968,Athletics,,,,,
"50 kilometres Walk, Men",Christoph HÃ¶hne,GDR,Antal Kiss,HUN,Larry Young,USA,1968,Athletics,,,,,
"High Jump, Men",Dick Fosbury,USA,Ed Caruthers,USA,Valentin Gavrilov,URS,1968,Athletics,,,,,
"Pole Vault, Men",Bob Seagren,USA,Claus Schiprowski,FRG,Wolfgang Nordwig,GDR,1968,Athletics,,,,,
"Long Jump, Men",Bob Beamon,USA,Klaus Beer,GDR,Ralph Boston,USA,1968,Athletics,,,,,
"Triple Jump, Men",Viktor Saneyev,URS,NÃ©lson PrudÃªncio,BRA,Giuseppe Gentile,ITA,1968,Athletics,,,,,
"Shot Put, Men",Randy Matson,USA,George Woods,USA,Eduard Gushchin,URS,1968,Athletics,,,,,
"Discus Throw, Men",Al Oerter,USA,Lothar Milde,GDR,LudvÃ­k DanÄk,TCH,1968,Athletics,,,,,
"Hammer Throw, Men",Gyula ZsivÃ³tzky,HUN,Romuald Klim,URS,LÃ¡zÃ¡r LovÃ¡sz,HUN,1968,Athletics,,,,,
"Javelin Throw, Men",JÄnis LÅ«sis,URS,Jorma Kinnunen,FIN,Gergely KulcsÃ¡r,HUN,1968,Athletics,,,,,
"Decathlon, Men",Bill Toomey,USA,Hans-Joachim Walde,FRG,Kurt Bendlin,FRG,1968,Athletics,,,,,
"100 metres, Women",Wyomia Tyus,USA,Barbara Ferrell,USA,Irena SzewiÅska,POL,1968,Athletics,,,,,
"200 metres, Women",Irena SzewiÅska,POL,Raelene Boyle,AUS,Jennifer Lamy,AUS,1968,Athletics,,,,,
"400 metres, Women",Colette Besson,FRA,Lillian Board,GBR,Nataliya Pechenkina,URS,1968,Athletics,,,,,
"800 metres, Women",Madeline Manning,USA,Ileana Silai,ROU,Mia Gommers,NED,1968,Athletics,,,,,
"80 metres Hurdles, Women",Maureen Caird,AUS,Pam Kilborn,AUS,Chi Cheng,TPE,1968,Athletics,,,,,
"4 Ã 100 metres Relay, Women",United States,USA,Cuba,CUB,Soviet Union,URS,1968,Athletics,,,,,
"High Jump, Women",Miloslava RezkovÃ¡,TCH,Antonina Okorokova,URS,Valentina Kozyr,URS,1968,Athletics,,,,,
"Long Jump, Women",Viorica Viscopoleanu,ROU,Sheila Sherwood,GBR,Tatyana Talysheva,URS,1968,Athletics,,,,,
