Country,Code,Medal (3=gold),Discipline,Gender
Japan,JPN,3,Wrestling,Women
Venezuela,VEN,3,Athletics,Women
Russia,RUS,1,Shooting,Women
Russia,RUS,2,Shooting,Women
Japan,JPN,2,Cycling Track,Women
Japan,JPN,3,Shooting,Men
Australia,AUS,3,Swimming,Men
Dominican Republic,DOM,2,Weightlifting,Men
Russia,RUS,3,Wrestling,Men
Russia,RUS,3,Wrestling,Men
Ukraine,UKR,3,Wrestling,Men
China,CHN,3,Shooting,Men
China,CHN,3,Swimming,Women
China,CHN,2,Swimming,Women
China,CHN,1,Taekwondo,Men
China,CHN,3,Trampolining,Women
China,CHN,3,Artistic Gymnastics,Men
Hungary,HUN,2,Sailing,Men
Kazakhstan,KAZ,1,Weightlifting,Women
Slovakia,SVK,3,Shooting,Women
