Year,Country Code,Population
1992,AGO,12657361.0
1993,AGO,13075044.0
1994,AGO,13503753.0
1995,AGO,13945205.0
1996,AGO,14400722.0
1997,AGO,14871572.0
1998,AGO,15359600.0
1999,AGO,15866871.0
2000,AGO,16395477.0
2001,AGO,16945753.0
2002,AGO,17519418.0
2003,AGO,18121477.0
2004,AGO,18758138.0
2005,AGO,19433604.0
2006,AGO,20149905.0
2007,AGO,20905360.0
2008,AGO,21695636.0
2009,AGO,22514275.0
2010,AGO,23356247.0
2011,AGO,24220660.0
2012,AGO,25107925.0
2013,AGO,26015786.0
2014,AGO,26941773.0
2015,AGO,27884380.0
2016,AGO,28842482.0
1964,ALB,1814135.0
1965,ALB,1864791.0
1966,ALB,1914573.0
1967,ALB,1965598.0
1968,ALB,2022272.0
1969,ALB,2081695.0
1970,ALB,2135479.0
1971,ALB,2187853.0
1972,ALB,2243126.0
1973,ALB,2296752.0
1974,ALB,2350124.0
1975,ALB,2404831.0
1976,ALB,2458526.0
1977,ALB,2513546.0
1978,ALB,2566266.0
1979,ALB,2617832.0
1980,ALB,2671997.0
1981,ALB,2726056.0
1982,ALB,2784278.0
1983,ALB,2843960.0
1984,ALB,2904429.0
1985,ALB,2964762.0
1986,ALB,3022635.0
1987,ALB,3083605.0
1988,ALB,3142336.0
1989,ALB,3227943.0
1990,ALB,3286542.0
1991,ALB,3266790.0
1992,ALB,3247039.0
1993,ALB,3227287.0
1994,ALB,3207536.0
1995,ALB,3187784.0
1996,ALB,3168033.0
1997,ALB,3148281.0
1998,ALB,3128530.0
1999,ALB,3108778.0
2000,ALB,3089027.0
2001,ALB,3060173.0
2002,ALB,3051010.0
2003,ALB,3039616.0
2004,ALB,3026939.0
2005,ALB,3011487.0
2006,ALB,2992547.0
2007,ALB,2970017.0
2008,ALB,2947314.0
2009,ALB,2927519.0
2010,ALB,2913021.0
2011,ALB,2905195.0
2012,ALB,2900401.0
2013,ALB,2895092.0
2014,ALB,2889104.0
2015,ALB,2880703.0
2016,ALB,2876101.0
1964,AND,17466.0
1965,AND,18542.0
1966,AND,19646.0
1967,AND,20760.0
1968,AND,21886.0
1969,AND,23053.0
1970,AND,24275.0
1971,AND,25571.0
1972,AND,26885.0
1973,AND,28232.0
1974,AND,29515.0
1975,AND,30705.0
1976,AND,31782.0
1977,AND,32769.0
1978,AND,33744.0
1979,AND,34825.0
1980,AND,36063.0
1981,AND,37498.0
1982,AND,39115.0
1983,AND,40854.0
1984,AND,42706.0
1985,AND,44593.0
1986,AND,46520.0
1987,AND,48459.0
1988,AND,50433.0
1989,AND,52452.0
1990,AND,54508.0
1991,AND,56666.0
1992,AND,58882.0
1993,AND,60974.0
1994,AND,62676.0
1995,AND,63860.0
1996,AND,64363.0
1997,AND,64318.0
1998,AND,64140.0
1999,AND,64368.0
2000,AND,65390.0
2001,AND,67344.0
2002,AND,70048.0
2003,AND,73180.0
2004,AND,76250.0
2005,AND,78871.0
2006,AND,80995.0
2007,AND,82682.0
2008,AND,83860.0
2009,AND,84461.0
2010,AND,84454.0
2011,AND,83748.0
2012,AND,82427.0
2013,AND,80770.0
2014,AND,79213.0
2015,AND,77993.0
2016,AND,77295.0
1964,ARB,102832792.0
1965,ARB,105736428.0
1966,ARB,108758634.0
1967,ARB,111899335.0
1968,ARB,115136161.0
1969,ARB,118437193.0
1970,ARB,121785630.0
1971,ARB,125164720.0
1972,ARB,128598743.0
1973,ARB,132161302.0
1974,ARB,135952270.0
1975,ARB,140040580.0
1976,ARB,144453278.0
1977,ARB,149161836.0
1978,ARB,154111160.0
1979,ARB,159218539.0
1980,ARB,164420771.0
1981,ARB,169698978.0
1982,ARB,175061794.0
1983,ARB,180505967.0
1984,ARB,186035280.0
1985,ARB,191650328.0
1986,ARB,197338140.0
1987,ARB,203084958.0
1988,ARB,208889669.0
1989,ARB,214753965.0
1990,ARB,222653371.0
1991,ARB,228731671.0
1992,ARB,232956364.0
1993,ARB,239243294.0
1994,ARB,245449429.0
1995,ARB,253107302.0
1996,ARB,259000937.0
1997,ARB,264822167.0
1998,ARB,270575777.0
1999,ARB,276393809.0
2000,ARB,282344141.0
2001,ARB,288432153.0
2002,ARB,294665202.0
2003,ARB,301113869.0
2004,ARB,307862846.0
2005,ARB,314965776.0
2006,ARB,322452764.0
2007,ARB,330290752.0
2008,ARB,338395936.0
2009,ARB,346629179.0
2010,ARB,354890097.0
2011,ARB,363156846.0
2012,ARB,371437642.0
2013,ARB,379696477.0
2014,ARB,387899835.0
2015,ARB,396028301.0
2016,ARB,404042892.0
1964,ARE,138049.0
1965,ARE,149855.0
1966,ARE,159979.0
1967,ARE,169768.0
1968,ARE,182620.0
1969,ARE,203103.0
1970,ARE,234512.0
1971,ARE,277463.0
1972,ARE,330968.0
1973,ARE,394625.0
1974,ARE,467457.0
1975,ARE,548295.0
1976,ARE,637926.0
1977,ARE,735347.0
1978,ARE,835498.0
1979,ARE,931752.0
1980,ARE,1019507.0
1981,ARE,1096602.0
1982,ARE,1164816.0
1983,ARE,1228457.0
1984,ARE,1293970.0
1985,ARE,1366165.0
1986,ARE,1446386.0
1987,ARE,1533526.0
1988,ARE,1627068.0
1989,ARE,1725676.0
1990,ARE,1828437.0
1991,ARE,1937159.0
1992,ARE,2052892.0
1993,ARE,2173135.0
1994,ARE,2294377.0
1995,ARE,2415099.0
1996,ARE,2539121.0
1997,ARE,2671361.0
1998,ARE,2813214.0
1999,ARE,2966029.0
2000,ARE,3134067.0
2001,ARE,3302722.0
2002,ARE,3478769.0
2003,ARE,3711931.0
2004,ARE,4068577.0
2005,ARE,4588222.0
2006,ARE,5300172.0
2007,ARE,6168846.0
2008,ARE,7089486.0
2009,ARE,7917368.0
2010,ARE,8549998.0
2011,ARE,8946778.0
2012,ARE,9141598.0
2013,ARE,9197908.0
2014,ARE,9214182.0
2015,ARE,9262896.0
2016,ARE,9360975.0
1964,ARG,21824427.0
1965,ARG,22159644.0
1966,ARG,22494031.0
1967,ARG,22828872.0
1968,ARG,23168268.0
1969,ARG,23517613.0
1970,ARG,23880564.0
1971,ARG,24259564.0
1972,ARG,24653172.0
1973,ARG,25056475.0
1974,ARG,25462305.0
1975,ARG,25865775.0
1976,ARG,26264681.0
1977,ARG,26661397.0
1978,ARG,27061041.0
1979,ARG,27471046.0
1980,ARG,27896532.0
1981,ARG,28338514.0
1982,ARG,28794550.0
1983,ARG,29262049.0
1984,ARG,29737097.0
1985,ARG,30216284.0
1986,ARG,30698964.0
1987,ARG,31184411.0
1988,ARG,31668939.0
1989,ARG,32148137.0
1990,ARG,32618648.0
1991,ARG,33079002.0
1992,ARG,33529320.0
1993,ARG,33970103.0
1994,ARG,34402669.0
1995,ARG,34828168.0
1996,ARG,35246376.0
1997,ARG,35657438.0
1998,ARG,36063451.0
1999,ARG,36467218.0
2000,ARG,36870796.0
2001,ARG,37275644.0
2002,ARG,37681743.0
2003,ARG,38087866.0
2004,ARG,38491970.0
2005,ARG,38892924.0
2006,ARG,39289876.0
2007,ARG,39684303.0
2008,ARG,40080159.0
2009,ARG,40482786.0
2010,ARG,40788453.0
2011,ARG,41261490.0
2012,ARG,41733271.0
2013,ARG,42202935.0
2014,ARG,42669500.0
2015,ARG,43131966.0
2016,ARG,43590368.0
1964,ARM,2145004.0
1965,ARM,2211316.0
1966,ARM,2276038.0
1967,ARM,2339133.0
1968,ARM,2401142.0
1969,ARM,2462938.0
1970,ARM,2525067.0
1971,ARM,2587716.0
1972,ARM,2650484.0
1973,ARM,2712780.0
1974,ARM,2773750.0
1975,ARM,2832752.0
1976,ARM,2889583.0
1977,ARM,2944375.0
1978,ARM,2997419.0
1979,ARM,3049107.0
1980,ARM,3099759.0
1981,ARM,3148096.0
1982,ARM,3193696.0
1983,ARM,3238592.0
1984,ARM,3285593.0
1985,ARM,3335935.0
1986,ARM,3392264.0
1987,ARM,3451947.0
1988,ARM,3504667.0
1989,ARM,3536473.0
1990,ARM,3538164.0
1991,ARM,3505249.0
1992,ARM,3442820.0
1993,ARM,3363111.0
1994,ARM,3283664.0
1995,ARM,3217349.0
1996,ARM,3168213.0
1997,ARM,3133081.0
1998,ARM,3108691.0
1999,ARM,3089020.0
2000,ARM,3069597.0
2001,ARM,3050686.0
2002,ARM,3033976.0
2003,ARM,3017938.0
2004,ARM,3000715.0
2005,ARM,2981262.0
2006,ARM,2958301.0
2007,ARM,2932615.0
2008,ARM,2907615.0
2009,ARM,2888094.0
2010,ARM,2877314.0
2011,ARM,2876536.0
2012,ARM,2884239.0
2013,ARM,2897593.0
2014,ARM,2912403.0
2015,ARM,2925559.0
2016,ARM,2936147.0
1964,ASM,22850.0
1965,ASM,23675.0
1966,ASM,24473.0
1967,ASM,25235.0
1968,ASM,25980.0
1969,ASM,26698.0
1970,ASM,27362.0
1971,ASM,27982.0
1972,ASM,28564.0
1973,ASM,29103.0
1974,ASM,29595.0
1975,ASM,30045.0
1976,ASM,30455.0
1977,ASM,30834.0
1978,ASM,31262.0
1979,ASM,31842.0
1980,ASM,32648.0
1981,ASM,33697.0
1982,ASM,34969.0
1983,ASM,36413.0
1984,ASM,37946.0
1985,ASM,39521.0
1986,ASM,41114.0
1987,ASM,42741.0
1988,ASM,44346.0
1989,ASM,45894.0
1990,ASM,47351.0
1991,ASM,48682.0
1992,ASM,49900.0
1993,ASM,51025.0
1994,ASM,52099.0
1995,ASM,53158.0
1996,ASM,54209.0
1997,ASM,55227.0
1998,ASM,56180.0
1999,ASM,57049.0
2000,ASM,57816.0
2001,ASM,58496.0
2002,ASM,59077.0
2003,ASM,59495.0
2004,ASM,59684.0
2005,ASM,59557.0
2006,ASM,59109.0
2007,ASM,58367.0
2008,ASM,57490.0
2009,ASM,56675.0
2010,ASM,56084.0
2011,ASM,55755.0
2012,ASM,55669.0
2013,ASM,55717.0
2014,ASM,55791.0
2015,ASM,55806.0
2016,ASM,55739.0
1964,ATG,57641.0
1965,ATG,58699.0
1966,ATG,59912.0
1967,ATG,61240.0
1968,ATG,62523.0
1969,ATG,63553.0
1970,ATG,64184.0
1971,ATG,64354.0
1972,ATG,64134.0
1973,ATG,63649.0
1974,ATG,63108.0
1975,ATG,62671.0
1976,ATG,62353.0
1977,ATG,62162.0
1978,ATG,62038.0
1979,ATG,61948.0
1980,ATG,61861.0
1981,ATG,61789.0
1982,ATG,61780.0
1983,ATG,61779.0
1984,ATG,61784.0
1985,ATG,61785.0
1986,ATG,61754.0
1987,ATG,61713.0
1988,ATG,61758.0
1989,ATG,62007.0
1990,ATG,62533.0
1991,ATG,63363.0
1992,ATG,64459.0
1993,ATG,65777.0
1994,ATG,67201.0
1995,ATG,68672.0
1996,ATG,70176.0
1997,ATG,71707.0
1998,ATG,73219.0
1999,ATG,74674.0
2000,ATG,76007.0
2001,ATG,77212.0
2002,ATG,78298.0
2003,ATG,79311.0
2004,ATG,80347.0
2005,ATG,81462.0
2006,ATG,82715.0
2007,ATG,84029.0
2008,ATG,85394.0
2009,ATG,86743.0
2010,ATG,88030.0
2011,ATG,89250.0
2012,ATG,90407.0
2013,ATG,91510.0
2014,ATG,92562.0
2015,ATG,93571.0
2016,ATG,94520.0
1964,AUS,11167000.0
1965,AUS,11388000.0
1966,AUS,11651000.0
1967,AUS,11799000.0
1968,AUS,12009000.0
1969,AUS,12263000.0
1970,AUS,12507000.0
1971,AUS,12937000.0
1972,AUS,13177000.0
1973,AUS,13380000.0
1974,AUS,13723000.0
1975,AUS,13893000.0
1976,AUS,14033000.0
1977,AUS,14192000.0
1978,AUS,14358000.0
1979,AUS,14514000.0
1980,AUS,14692000.0
1981,AUS,14927000.0
1982,AUS,15178000.0
1983,AUS,15369000.0
1984,AUS,15544000.0
1985,AUS,15758000.0
1986,AUS,16018400.0
1987,AUS,16263900.0
1988,AUS,16532200.0
1989,AUS,16814400.0
1990,AUS,17065100.0
1991,AUS,17284000.0
1992,AUS,17495000.0
1993,AUS,17667000.0
1994,AUS,17855000.0
1995,AUS,18072000.0
1996,AUS,18311000.0
1997,AUS,18517000.0
1998,AUS,18711000.0
1999,AUS,18926000.0
2000,AUS,19153000.0
2001,AUS,19413000.0
2002,AUS,19651400.0
2003,AUS,19895400.0
2004,AUS,20127400.0
2005,AUS,20394800.0
2006,AUS,20697900.0
2007,AUS,20827600.0
2008,AUS,21249200.0
2009,AUS,21691700.0
2010,AUS,22031750.0
2011,AUS,22340024.0
2012,AUS,22733465.0
2013,AUS,23128129.0
2014,AUS,23475686.0
2015,AUS,23815995.0
2016,AUS,24190907.0
1964,AUT,7223801.0
1965,AUT,7270889.0
1966,AUT,7322066.0
1967,AUT,7376998.0
1968,AUT,7415403.0
1969,AUT,7441055.0
1970,AUT,7467086.0
1971,AUT,7500482.0
1972,AUT,7544201.0
1973,AUT,7586115.0
1974,AUT,7599038.0
1975,AUT,7578903.0
1976,AUT,7565525.0
1977,AUT,7568430.0
1978,AUT,7562305.0
1979,AUT,7549425.0
1980,AUT,7549433.0
1981,AUT,7568710.0
1982,AUT,7574140.0
1983,AUT,7561910.0
1984,AUT,7561434.0
1985,AUT,7564985.0
1986,AUT,7569794.0
1987,AUT,7574586.0
1988,AUT,7585317.0
1989,AUT,7619567.0
1990,AUT,7677850.0
1991,AUT,7754891.0
1992,AUT,7840709.0
1993,AUT,7905633.0
1994,AUT,7936118.0
1995,AUT,7948278.0
1996,AUT,7959017.0
1997,AUT,7968041.0
1998,AUT,7976789.0
1999,AUT,7992324.0
2000,AUT,8011566.0
2001,AUT,8042293.0
2002,AUT,8081957.0
2003,AUT,8121423.0
2004,AUT,8171966.0
2005,AUT,8227829.0
2006,AUT,8268641.0
2007,AUT,8295487.0
2008,AUT,8321496.0
2009,AUT,8343323.0
2010,AUT,8363404.0
2011,AUT,8391643.0
2012,AUT,8429991.0
2013,AUT,8479823.0
2014,AUT,8546356.0
2015,AUT,8642699.0
2016,AUT,8736668.0
1964,AZE,4456691.0
1965,AZE,4592601.0
1966,AZE,4721528.0
1967,AZE,4843872.0
1968,AZE,4960237.0
1969,AZE,5071930.0
1970,AZE,5180032.0
1971,AZE,5284518.0
1972,AZE,5385266.0
1973,AZE,5483088.0
1974,AZE,5579071.0
1975,AZE,5674129.0
1976,AZE,5768730.0
1977,AZE,5863138.0
1978,AZE,5957927.0
1979,AZE,6053635.0
1980,AZE,6150735.0
1981,AZE,6249312.0
1982,AZE,6349555.0
1983,AZE,6452067.0
1984,AZE,6557581.0
1985,AZE,6666447.0
1986,AZE,6778631.0
1987,AZE,6893486.0
1988,AZE,7010027.0
1989,AZE,7126877.0
1990,AZE,7159000.0
1991,AZE,7271000.0
1992,AZE,7382000.0
1993,AZE,7495000.0
1994,AZE,7597000.0
1995,AZE,7685000.0
1996,AZE,7763000.0
1997,AZE,7838250.0
1998,AZE,7913000.0
1999,AZE,7982750.0
2000,AZE,8048600.0
2001,AZE,8111200.0
2002,AZE,8171950.0
2003,AZE,8234100.0
2004,AZE,8306500.0
2005,AZE,8391850.0
2006,AZE,8484550.0
2007,AZE,8581300.0
2008,AZE,8763400.0
2009,AZE,8947243.0
2010,AZE,9054332.0
2011,AZE,9173082.0
2012,AZE,9295784.0
2013,AZE,9416801.0
2014,AZE,9535079.0
2015,AZE,9649341.0
2016,AZE,9757812.0
1964,BDI,3026292.0
1965,BDI,3094378.0
1966,BDI,3170496.0
1967,BDI,3253215.0
1968,BDI,3336930.0
1969,BDI,3413909.0
1970,BDI,3479070.0
1971,BDI,3530000.0
1972,BDI,3569655.0
1973,BDI,3605120.0
1974,BDI,3646428.0
1975,BDI,3700879.0
1976,BDI,3770870.0
1977,BDI,3854446.0
1978,BDI,3949264.0
1979,BDI,4051239.0
1980,BDI,4157296.0
1981,BDI,4266520.0
1982,BDI,4379727.0
1983,BDI,4497544.0
1984,BDI,4621096.0
1985,BDI,4750832.0
1986,BDI,4886745.0
1987,BDI,5027143.0
1988,BDI,5168703.0
1989,BDI,5307069.0
1990,BDI,5438959.0
1991,BDI,5564923.0
1992,BDI,5685569.0
1993,BDI,5798054.0
1994,BDI,5898964.0
1995,BDI,5987044.0
1996,BDI,6060110.0
1997,BDI,6122130.0
1998,BDI,6185564.0
1999,BDI,6267132.0
2000,BDI,6378871.0
2001,BDI,6525546.0
2002,BDI,6704118.0
2003,BDI,6909161.0
2004,BDI,7131688.0
2005,BDI,7364857.0
2006,BDI,7607850.0
2007,BDI,7862226.0
2008,BDI,8126104.0
2009,BDI,8397661.0
2010,BDI,8675606.0
2011,BDI,8958406.0
2012,BDI,9245992.0
2013,BDI,9540302.0
2014,BDI,9844301.0
2015,BDI,10160034.0
2016,BDI,10488002.0
1964,BEL,9378113.0
1965,BEL,9463667.0
1966,BEL,9527807.0
1967,BEL,9580991.0
1968,BEL,9618756.0
1969,BEL,9646032.0
1970,BEL,9655549.0
1971,BEL,9673162.0
1972,BEL,9711115.0
1973,BEL,9741720.0
1974,BEL,9772419.0
1975,BEL,9800700.0
1976,BEL,9818227.0
1977,BEL,9830358.0
1978,BEL,9839534.0
1979,BEL,9848382.0
1980,BEL,9859242.0
1981,BEL,9858982.0
1982,BEL,9856303.0
1983,BEL,9855520.0
1984,BEL,9855372.0
1985,BEL,9858308.0
1986,BEL,9861823.0
1987,BEL,9870234.0
1988,BEL,9901664.0
1989,BEL,9937697.0
1990,BEL,9967379.0
1991,BEL,10004486.0
1992,BEL,10045158.0
1993,BEL,10084475.0
1994,BEL,10115603.0
1995,BEL,10136811.0
1996,BEL,10156637.0
1997,BEL,10181245.0
1998,BEL,10203008.0
1999,BEL,10226419.0
2000,BEL,10251250.0
2001,BEL,10286570.0
2002,BEL,10332785.0
2003,BEL,10376133.0
2004,BEL,10421137.0
2005,BEL,10478617.0
2006,BEL,10547958.0
2007,BEL,10625700.0
2008,BEL,10709973.0
2009,BEL,10796493.0
2010,BEL,10895586.0
2011,BEL,11038264.0
2012,BEL,11106932.0
2013,BEL,11159407.0
2014,BEL,11209057.0
2015,BEL,11274196.0
2016,BEL,11331422.0
1964,BEN,2585961.0
1965,BEN,2632361.0
1966,BEN,2682159.0
1967,BEN,2735308.0
1968,BEN,2791588.0
1969,BEN,2850657.0
1970,BEN,2912338.0
1971,BEN,2976575.0
1972,BEN,3043563.0
1973,BEN,3113681.0
1974,BEN,3187413.0
1975,BEN,3265167.0
1976,BEN,3347169.0
1977,BEN,3433445.0
1978,BEN,3523933.0
1979,BEN,3618519.0
1980,BEN,3717161.0
1981,BEN,3820126.0
1982,BEN,3927717.0
1983,BEN,4039940.0
1984,BEN,4156819.0
1985,BEN,4278502.0
1986,BEN,4404504.0
1987,BEN,4535262.0
1988,BEN,4672844.0
1989,BEN,4820020.0
1990,BEN,4978489.0
1991,BEN,5149496.0
1992,BEN,5331805.0
1993,BEN,5521761.0
1994,BEN,5714215.0
1995,BEN,5905552.0
1996,BEN,6094272.0
1997,BEN,6281644.0
1998,BEN,6470275.0
1999,BEN,6664102.0
2000,BEN,6865946.0
2001,BEN,7076728.0
2002,BEN,7295400.0
2003,BEN,7520556.0
2004,BEN,7750003.0
2005,BEN,7982223.0
2006,BEN,8216893.0
2007,BEN,8454790.0
2008,BEN,8696915.0
2009,BEN,8944713.0
2010,BEN,9199254.0
2011,BEN,9460829.0
2012,BEN,9729254.0
2013,BEN,10004594.0
2014,BEN,10286839.0
2015,BEN,10575962.0
2016,BEN,10872072.0
1964,BFA,5098891.0
1965,BFA,5174874.0
1966,BFA,5256360.0
1967,BFA,5343025.0
1968,BFA,5434046.0
1969,BFA,5528172.0
1970,BFA,5624592.0
1971,BFA,5723378.0
1972,BFA,5825174.0
1973,BFA,5930493.0
1974,BFA,6040045.0
1975,BFA,6154554.0
1976,BFA,6274032.0
1977,BFA,6398933.0
1978,BFA,6530820.0
1979,BFA,6671656.0
1980,BFA,6822837.0
1981,BFA,6985166.0
1982,BFA,7158259.0
1983,BFA,7340910.0
1984,BFA,7531239.0
1985,BFA,7727908.0
1986,BFA,7930689.0
1987,BFA,8140080.0
1988,BFA,8356313.0
1989,BFA,8579818.0
1990,BFA,8811033.0
1991,BFA,9050086.0
1992,BFA,9297110.0
1993,BFA,9552473.0
1994,BFA,9816584.0
1995,BFA,10089880.0
1996,BFA,10372734.0
1997,BFA,10665552.0
1998,BFA,10968722.0
1999,BFA,11282696.0
2000,BFA,11607951.0
2001,BFA,11944589.0
2002,BFA,12293097.0
2003,BFA,12654624.0
2004,BFA,13030576.0
2005,BFA,13421935.0
2006,BFA,13829173.0
2007,BFA,14252029.0
2008,BFA,14689725.0
2009,BFA,15141098.0
2010,BFA,15605211.0
2011,BFA,16081915.0
2012,BFA,16571252.0
2013,BFA,17072791.0
2014,BFA,17586029.0
2015,BFA,18110616.0
2016,BFA,18646350.0
1964,BGD,53741721.0
1965,BGD,55385114.0
1966,BGD,57157651.0
1967,BGD,59034250.0
1968,BGD,60918452.0
1969,BGD,62679765.0
1970,BGD,64232486.0
1971,BGD,65531635.0
1972,BGD,66625706.0
1973,BGD,67637541.0
1974,BGD,68742222.0
1975,BGD,70066310.0
1976,BGD,71652386.0
1977,BGD,73463593.0
1978,BGD,75450033.0
1979,BGD,77529040.0
1980,BGD,79639498.0
1981,BGD,81767516.0
1982,BGD,83932132.0
1983,BGD,86142490.0
1984,BGD,88416529.0
1985,BGD,90764180.0
1986,BGD,93187593.0
1987,BGD,95671159.0
1988,BGD,98186350.0
1989,BGD,100695496.0
1990,BGD,103171957.0
1991,BGD,105599125.0
1992,BGD,107983708.0
1993,BGD,110350641.0
1994,BGD,112737684.0
1995,BGD,115169933.0
1996,BGD,117649927.0
1997,BGD,120160571.0
1998,BGD,122682818.0
1999,BGD,125189655.0
